governance_type,ecological_site,Site,Region,District,Village,surveyNo,a.1.1,a.1.2,a.1.3,a.1.4,a.2.1,a.2.2,a.2.3,a.2.4,a.3.1,a.3.2,a.3.3,a.4.1,a.4.2,a.4.3,b.1.1,b.1.2,b.1.3,b.2.1,b.2.2,b.2.3,b.3.1,b.3.2,b.3.3,b.3.4,b.4.1,b.4.2,b.4.3,b.5.1,b.5.2,b.5.3
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D002,1,0.94,1,0.4118,0,0.25,0.6,0.6,0,1,1,0.4,0.3333,0.75,0.25,1,0,0.2638,0.5,0,0.3333,0,1,0.25,0.75,1,0.1667,0.3,0,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D003,1,0.96,1,0.4706,0,0.2794,0.6667,0.3333,0,1,0,0.46,0.4583,0.75,0,1,1,0.2344,0.5,0,0.3333,0,0.25,0.25,0.25,0,0.3333,0.75,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D004,1,0.96,1,0.2353,0,0.4265,0.6,0.6,1,1,0,0.22,0.3333,0.75,0.25,1,0,0.1939,0.5,0,0.3333,0,0.5,0.25,0.75,0,0.3333,0.6,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D005,1,0.97,1,0.1569,0,0.3676,0.7143,0.7143,0,1,1,0.14,0.3333,0.75,0.25,1,0,0.1738,0.5,0,0.3333,0.5,0.75,0.25,0.75,0,0.3333,0.75,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D006,1,0.98,1,0.5294,0,0.6471,0.5,0.8,1,0,1,0.52,0.4583,0.75,0,1,0,0.3186,0.5,0,0.3333,1,0,0.25,0.75,0,0.5,0.75,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D007,1,0.98,1,0.3137,1,0.4853,0.5,0.5,1,1,1,0.3,0.4583,0.75,0.25,1,0,0.3461,0.5,0,0.3333,0.5,0.5,0.25,0.75,0,0.3333,0.75,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D008,1,0.98,1,0.1176,0,0.0882,0.5,0.5,1,0,1,0.1,0.4583,0.75,0.25,1,0,0.1,0.5,0,0.3333,0.75,0.5,0.25,0.75,0,0.3333,0.75,0,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D009,1,0.94,1,0.1176,0,0.3382,0.3333,0.6667,1,1,0,0.1,0.3333,0.75,0.25,1,0,0.0521,0.5,0,0,0,0.5,0.25,0.25,0,0.3333,0.3,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D010,1,0.98,1,0.1765,0,0.1324,0.3333,0.6667,1,1,1,0.22,0.3333,0.75,0,1,0,0.0741,0.5,0,0,0,0.25,0.25,0.75,0,0.3333,0.75,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D011,1,0.98,1,0.1765,0,0.1324,0,0,1,1,1,0.02,0.3333,0.75,0.25,1,1,0.1275,0.75,0,0,0,0,0.25,0,0,0.3333,0.3,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D012,1,0.97,1,0.1569,0,0.1176,0,0,1,1,1,0.02,0.3333,0.75,0.5,1,1,0.2284,0.75,0,0,0,0.75,0.25,0.75,0,0.3333,0.75,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D013,1,0.98,1,0.0588,0,0.0441,0,0.5,1,1,1,0.36,0.3333,0.75,0,1,0.8,0.0221,0.75,0,0,0,0,0.25,0.25,0,0.3333,0.75,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D014,1,0.86,1,0.0392,0,0.0294,0.5,0.5,1,1,1,0.1,0.4583,0.75,0.25,1,0.4,0.0796,0.75,0,0,0,0.25,0.25,0.75,0,0.3333,0.45,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D015,1,0.96,1,0.0196,0,0.0147,0.5,0.5,1,1,0,0.12,0.4583,0.75,0,1,1,0.3453,0.75,0,0.3333,0,0.25,0.25,0.75,0,0.3333,0.6,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D016,1,0.99,1,0.1961,0,0.1471,0.6,0.6,1,1,1,0.36,0.4583,0.75,0,1,0,0.0949,0.75,0,0,0,0.25,0.25,0.25,0,0.3333,0.3,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D017,1,0.93,1,0.0392,0,0.0294,0.4286,0.7143,1,0,1,0.42,0.4583,0.75,0,1,1,0.0858,0.75,0,0,0.75,0,0.25,0.75,0,0.3333,0.75,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D018,1,0.98,1,0.1765,0,0.3824,0.6667,0.6667,1,1,1,0.16,0.4583,0.75,0,1,0.2,0.1137,0.25,0,0.3333,0,0.25,0.25,0,0,0.5,0.45,0,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D019,1,0.97,1,0.0588,0,0.2941,0.3333,0.3333,1,1,0,0.04,0.3333,0.75,0.25,1,1,0.2444,0.25,0,0.3333,0,0.5,0.25,0.25,0,0.25,0.75,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D020,1,0.95,1,0.4902,0,0.6176,0.6,0.6,1,0,0,0.48,0.5833,0.75,0,1,0,0.0606,0.25,0,0.3333,0.75,0.5,0.25,0.75,0,0.25,0.6,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D021,1,0.94,1,0.451,0,0.5882,0.6667,0.6667,1,1,0,0.44,0.3333,0.75,0,1,1,0.1238,0.25,0,0.3333,0,0.5,0.25,0.75,0,0.3333,0.75,0,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D022,1,0.98,1,0,0,0,0.4286,0.7143,1,1,0,0.36,0.4583,0.75,0.25,1,0,0.0813,0.25,0,0.3333,0,0.5,0.25,0.75,1,0.3333,0.75,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D023,1,0.97,1,0.0196,0,0.0147,0,0.6,1,1,1,0.12,0.2083,0.5,0,1,0,0.0338,0.25,0,0.3333,0,0.25,0.5,0.25,0,0.25,0.7,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D024,1,0.97,1,0.3922,0,0.2941,0.6667,0.6667,1,0,0,0.46,0.3333,0.75,0,1,0.8,0.172,0.25,0,0.3333,0.75,0.25,0.25,0.75,0,0.25,0.7,0.5,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D025,1,0.95,1,0.1765,0,0.3824,0,0,1,0,1,0.16,0.3333,0.75,0,1,0.8,0.1283,0.25,0,0.3333,0.75,0.25,0.25,0.75,0,0.25,0.55,0.5,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D026,1,0.97,1,0.0784,0,0.3088,0.3333,0.3333,1,0,1,0.06,0.4583,0.75,0,1,1,0.2203,0.25,0,0.3333,0.75,0.25,0.25,0.75,0,0.25,0.55,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D027,1,0.97,1,0.2353,0,0.4265,0.6,0.6,1,1,1,0.22,0.2083,0.75,0.25,1,1,0.1637,0.25,0,0.3333,0,0.25,0.25,0.25,1,0.3333,0.6,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D028,1,0.95,1,0,0,0.2353,0.6667,0.6667,1,0,1,0.34,0.2083,0.75,0,1,1,0.0745,0.25,0,0.3333,0.75,0.25,0.25,0.5,1,0.0833,0.7,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D029,1,0.95,1,0,0,0,0.6,0.8,1,1,1,0.32,0.3333,0.75,0,1,1,0.3451,0.25,0,0,0.5,0.5,0.25,0.25,1,0.25,0.6,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D030,1,0.95,1,0.3725,0,0.2794,0.6,0.8,1,0,1,0.52,0.2917,0.75,0,1,1,0.3955,0.25,0,0.3333,0.75,0.5,0.25,0.75,1,0.25,0.55,0.5,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D031,1,0.98,1,0.1765,0,0.3824,0.6667,0.6667,1,0,0,0.16,0.3333,0.75,0.25,1,1,0.097,0.25,0,0.3333,0.75,0.25,0.25,0.25,1,0.25,0.85,0.5,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D032,1,0.94,1,0.098,0,0.3235,0.3333,0.3333,0,0,1,0.16,0.2083,0.75,0,1,0.8,0.2071,0.25,,0.3333,0.75,0.25,0.25,0.75,0,0.25,0.45,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D033,1,0.92,1,0.0392,0,0.0294,0,0,1,1,1,0.24,0.3333,0.75,0,1,0.8,0.173,0.25,0,0,0,0.25,0.25,0.75,1,0.25,0.45,0.3333,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D034,1,0.93,1,0.1569,0,0.3676,0,0,1,1,1,0.14,0.3333,0.25,0,1,0,0.062,0.25,0,0.3333,0,0.25,0.75,0.75,1,0.25,0.7,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D035,1,0.91,1,0,0,0.2206,0.5,0.5,1,0,1,0.06,0.4167,0.75,0,1,0,0.1023,0.25,0,0.3333,0.75,0,0.25,0.25,0,0.25,0.7,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D036,1,0.9,1,0.0588,0,0.1324,0,0,1,1,1,0.04,0.3333,0.75,0.25,1,0,0.0542,0.25,0,0.3333,0,0,0.25,0.25,0,0.0833,0.6,0.8333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D037,1,0.88,1,0.0588,0,0.2941,0.5714,0.5714,1,1,0,0.2,0.4167,0.75,0,1,0,0.0846,0.25,0,0.3333,0,0,0.25,0.25,0,0.0833,0.7,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D038,1,0.97,1,0.1373,0,0.1029,0.5,0.5,1,1,0,0.14,0.3333,0.75,0,1,0,0.2623,0.25,0,0.3333,0,0,0.25,0.75,1,0.3333,0.7,0.5,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D039,1,0.95,1,0.3725,0,0.5294,0.6,0.6,1,0,0,0.36,0.4167,0.75,0.25,1,1,0.158,0.25,0,0.3333,0.75,0,0.25,0.25,1,0.0833,0.7,0.5,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,D040,1,0.94,0.625,0.5686,0,0.4265,0,0.3333,1,1,0,0.62,0.3333,0.75,1,1,0.8,0.3455,0.5,1,0.6667,0,0,0.25,0.75,1,0.75,0.65,1,0
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,D041,1,0.95,1,0.0392,0,0.0294,0,0.5,1,0,0,0.14,0.3333,0.25,0.25,1,0.8,0.023,0.5,0,0,0.75,0,0.75,0.75,1,0.75,0.75,0.8333,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,D042,1,0.96,1,0.1176,0,0.3382,0,0,1,0,0,0.1,0.2083,0.75,0.5,1,0.8,0.1435,0.5,0,0,0.75,0,0.25,0.75,1,0.75,0.75,0.8333,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,D043,1,0.97,1,0,0,0,0,0,1,0,1,0.02,0.2083,0.5,0.25,1,0.2,0.0063,0.5,0,0.3333,0.75,0,0.5,0.25,0,0.25,0.65,1,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,D044,1,0.97,1,0.0196,0,0.0147,0.5,0.75,1,1,1,0.24,0.2083,0.75,0,1,0.8,0.3689,0.5,0,0,0,0,0.25,0.25,1,0.25,0.65,0.8333,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,D045,1,0.95,1,0.0196,0,0.0147,0.5,0.5,1,1,1,0.08,0.2083,0.25,0.25,1,0,0.27,0.5,0,0,0,0,0.75,0.25,1,0.0833,0.45,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,D046,1,0.9,1,1,0,1,0.5,0.5,1,0,1,1,0.2083,0.75,0,1,0,0.1385,0.25,0,0.3333,0.75,0.25,0.25,0.75,1,0.75,0.75,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,D047,1,0.98,1,0.6275,0,0.7206,0.4,0.6,1,0,1,0.62,0.2083,0.75,0,1,0.4,0.4961,0.25,0,0.3333,0.75,0,0.25,0.75,1,0.5833,0.55,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,D048,1,0.94,1,0.1961,0,0.3971,0.3333,0.3333,0,1,0,0.18,0.0833,0.25,0.25,1,0.6,0.1008,0.25,0,0.3333,0,0,0.75,0.75,0,0.75,0.35,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,D049,1,0.98,1,0.2549,0,0.4412,0.6,0.6,1,0,1,0.24,0.2083,0.25,0,1,0.6,0.1684,0.25,0,0.3333,0.75,0,0.75,0.75,1,0.5833,0.75,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,D050,1,0.97,1,0.1373,1,0.3529,0.6667,0.6667,1,1,1,0.12,0.2083,0.25,0.25,1,0,0.0627,0.25,0,0.3333,0,0,0.75,0.75,1,0.75,0.55,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,D051,1,1,1,0.0196,0,0.2647,0,0.25,1,0,1,0,0.2083,0.25,0.25,1,0,0.1232,0.25,0,0.3333,0.75,0,0.75,0.25,1,0.75,0.65,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,D052,1,1,1,0.0784,0,0.3088,0.3333,0.3333,1,0,1,0.06,0.2083,0.25,0.25,1,0,0.0562,0.25,0,0.6667,0.75,0,0.75,0.75,0,0.5833,0.75,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,D053,1,1,1,0.4314,1,0.5735,0.5,0,1,0,1,0.42,0.2083,0.25,0,1,0,0.0146,0.25,0,0.3333,0.75,0,0.75,0.25,1,0.25,0.65,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,D054,1,1,1,0.0784,0,0.0588,0.5,0.5,1,1,1,0.16,0.2083,0.25,0,1,0.8,0.0572,0.25,0,0.3333,0,0,0.75,0.75,1,0.5833,0.25,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,D055,1,1,0.5833,0.1569,0,0.1176,0.3333,0.3333,1,0,1,0.2,0.2083,0.25,0.5,1,0.2,0.2776,0.25,0,0.3333,0.75,0,0.75,0.75,1,0.5833,0.45,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,D056,1,0.97,1,0.1373,0,0.3529,0.3333,0.3333,1,0,1,0.12,0.2083,0.25,0.5,1,0.8,0.0135,0,0,0.3333,0.75,0,0.75,0.75,1,0.25,0.45,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,D057,1,0.98,1,0.0588,0,0.2941,0.5,0.5,1,0,1,0.48,0.3333,0.25,0.25,1,0.8,0.7402,0,0,0.3333,0.75,0.25,0.75,0.75,0,0.75,0.75,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,D058,1,0.98,1,0.1961,0,0.3971,0.3333,0.3333,1,1,1,0.18,0.2083,0.25,0,1,0.8,0.0124,0,0,0.3333,0,0,0.75,0.75,0,0.75,0.65,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,D059,1,0.95,1,0.0392,0,0.2794,0.3333,0.3333,1,1,1,0.02,0.3333,0.75,0.25,1,0.8,0.0124,0,0,0.3333,0,0,0.25,0.75,1,0.75,0.7,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,D060,1,0.98,1,0.2157,0,0.4118,0.6,-3.4,1,0,1,0.2,0.2083,0.75,0,1,0,0.0219,0,0,0.3333,0.75,0.25,0.25,0.75,0,0.75,0.65,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,D061,1,0.85,1,0.9216,0,0.6912,0.6,0.9,1,1,1,0.58,0.2083,0.75,0.25,1,1,0.6954,0,1,0.3333,0,0,0.25,0.75,0,0.75,0.65,1,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Analanabe,D062,1,0.95,1,0.0588,0,0.0441,0,0,1,1,1,0.26,0.2083,0.25,0,1,0,0.0327,0.5,0,0,0,0,0.75,0.75,1,0.6667,0.75,1,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Analanabe,D063,1,0.97,1,0.0196,0,0.0147,0,0,0,0,1,0.02,0.3333,0.25,0.25,1,0.8,0.0221,0.5,0,0,0.75,0,0.75,0.75,1,0.75,0.75,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E001,1,0.98,1,0,0,0,0.4,0.8,0,1,0,0.08,0.2083,0.75,1,1,0,0.304,0.5,0,0.3333,0,1,0.25,0.75,1,0.1667,0.85,0.5,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E002,1,0.98,1,0.2157,0,0.1618,0.5,0.75,0,0,0,0.54,0.2083,0.75,1,1,1,0.2885,0.5,0,0.3333,0.75,0.75,0.25,1,1,0.75,0.75,0.6667,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E003,1,0.98,1,0.2157,0,0.1618,0.6,0.8,0,0,1,0.46,0.2083,0.75,0,1,1,0.0327,0.5,0,0.3333,0.75,0.5,0.25,0.75,1,0.9167,0.75,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E004,1,0.98,1,0.3725,0,0.2794,0.625,0.625,0,0,1,0.6,0.2083,0.25,0.75,1,0.8,0.1384,0.5,0,0.3333,1,0.25,0.75,0.75,1,0.9167,0.85,0.6667,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E005,1,0.97,1,0.0392,0,0.0294,0.75,0.5,0,0,0,0.4,0.2083,1,0,1,1,0.0129,0.5,0,0.3333,0.75,0.5,0,1,0,0.75,0.85,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E006,1,1,1,0,0,0.2353,0.25,0.75,0,1,0,0.06,0.3333,0.75,0.25,1,0,0.145,0.5,0,0,0,0,0.25,0.25,0,0.0833,0.85,0,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E007,1,1,1,0.1176,0,0.3382,0.5,0.5,0,0,0,0.16,0.3333,0.75,0,1,1,0.3978,0.5,0,0.3333,0.75,0,0.25,0.25,0,0.3333,0.75,0.8333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E008,1,0.99,1,0,0,0,0.75,0.75,0,0,0,0.4,0.4583,0.25,0.75,1,0,0.3967,0.5,0,0.3333,0.75,0.25,0.75,0.75,1,0.3333,0.85,0.5,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E009,1,0.96,1,0.1569,0,0.3676,0.7143,0.7143,0,0,0,0.14,0.3333,0.75,0,1,0,0.4138,0.5,0,0.3333,0.75,0.5,0.25,0.75,0,0.5833,0.65,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E010,1,0.9,1,0.0392,0,0.0294,0.3333,0.6667,0,1,0,0.02,0.3333,0.75,0.25,1,0,0.3978,0.5,0,0,0,0,0.25,0.75,0,0.5,0.85,1,1
