governance_type,ecological_site,Site,Region,District,Village,surveyNo,a.1.1,a.1.2,a.1.3,a.1.4,a.2.1,a.2.2,a.2.3,a.2.4,a.3.1,a.3.2,a.3.3,a.4.1,a.4.2,a.4.3,b.1.1,b.1.2,b.1.3,b.2.1,b.2.2,b.2.3,b.3.1,b.3.2,b.3.3,b.3.4,b.4.1,b.4.2,b.4.3,b.5.1,b.5.2,b.5.3
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E011,1,0.99,1,0.4314,0,0.5735,0.8182,0.8182,0,1,0,0.42,0.3333,0.75,0,1,0,0.0836,0.5,0,0.3333,0,0.25,0.25,0.75,1,0.5,0.85,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E012,1,0.98,1,0.1765,0,0.1324,0.75,0.75,1,1,1,0.32,0.4583,0.75,0,1,0,0.1323,0.5,0,0,0,0,0.25,0.25,0,0.0833,0.75,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E013,1,1,1,0.1176,0,0.0882,0.3333,0.3333,1,1,1,0.2,0.4583,0.75,0,1,0,0.02,0.5,0,0.3333,0,0,0.25,0.75,0,0.5,0.85,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E014,1,0.99,1,0.0196,1,0.0147,0.5,0.5,1,1,1,0.38,0.4583,0.75,0,1,0,0.0211,0.5,0,0.3333,0,0,0.25,0.25,0,0.0833,0.85,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E015,1,0.92,1,0.6275,0,0.7206,0.3333,0.3333,0,1,1,0.62,0.4583,0.75,0,1,0,0.0482,0.5,0,0.3333,0,0.5,0.25,0.75,0,0.4167,0.75,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E016,1,0.99,1,0.4118,0,0.5588,0.3333,0.6667,0,0,1,0.4,0.4583,0.75,0,1,0,0.0482,0.5,0,0.3333,0.75,0.25,0.25,0.75,1,0.5,0.75,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E017,1,0.99,1,0.6667,0,0.5,0.5,0.8333,0,1,1,0.78,0.4583,0.75,0,1,0,0.1124,0.5,0,0.3333,0,0.5,0.25,0.75,1,0.4167,0.85,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E018,1,0.98,1,0.098,0,0.0735,0.6667,0.8333,0,1,1,0.42,0.4583,0.75,0,1,0,0.0709,0.5,0,0.3333,0,0.5,0.25,0.75,1,0.3333,0.85,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E019,1,0.98,1,0,0,0,0.5,0.5,0,1,0,0.18,0.4583,0.75,0.25,1,0,0.1699,0.5,0,0.3333,0,0.5,0.25,0.75,1,0.4167,0.85,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E020,1,0.99,1,0.3922,1,0.5441,0.75,0.75,0,1,0,0.38,0.2083,0.75,0,1,0,0.0619,0.5,0,0.3333,0,0.25,0.25,0.75,0,0.25,0.85,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E021,1,0.98,1,0.3137,0,0.4853,0.3333,0.3333,0,1,1,0.3,0.4583,0.25,0,1,1,0.4561,0.5,0,0.3333,0,0.25,0.75,0.25,1,0.3333,0.85,0.6667,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E022,1,0.99,1,0.2549,1,0.4412,0.3333,0.3333,0,1,0,0.24,0.3333,0.75,0,1,0,0.97,0.5,0,0.3333,0,0.25,0.25,0.75,1,0.4167,0.85,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,E023,1,0.95,1,0.1961,0,0.1471,0.625,0.75,0,1,1,0.18,0.4583,0.75,0.25,1,0.8,0.39,0.5,0,0.3333,0,0,0.25,0.25,0,0.25,0.85,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,E024,1,0.94,1,0.2941,0,0.2206,0.5,0.5,0,0,1,0.62,0.0833,0.25,0,1,1,0.496,0.75,0,0.6667,1,0.25,0.75,0.75,1,0.4167,0.75,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,E025,1,0.97,1,0.4706,0,0.6029,0.75,0.75,0,0,1,0.46,0.3333,0.75,0,1,0.8,0.2527,0.75,0,0.3333,0.75,0.75,0.25,0.25,0,0.25,0.75,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,E026,1,0.97,1,0.3529,0,0.5147,0.6667,0.6667,0,0,1,0.34,0.4583,0.5,0.25,1,0,0.0918,0.75,0,0.3333,0.75,0,0.5,0.75,1,0.25,0.75,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,E027,1,0.97,1,0.2745,0,0.2059,0.5556,0.6667,0,0,1,0.74,0.3333,0.25,0,1,1,0.073,0.75,0,0.3333,0.75,0,0.75,0.75,0,0.6667,0.75,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,E028,1,0.98,1,0.1176,0,0.3382,0.4286,0.5714,0,0,1,0.6,0.0833,0.25,0.25,1,0,0.1416,0.75,0,0,0.75,0.25,0.75,1,0,0.8333,0.75,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,E029,1,0.96,1,0.1765,1,0.1324,0.625,0.75,1,0,1,0.32,0.3333,0.25,0.25,1,0,0.2474,0.75,0,0.3333,0.75,0.25,0.75,0.75,1,0.25,0.75,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,E030,1,0.98,1,0.098,1,0.0735,0.6667,0.7778,1,0,0,0.36,0.3333,0.25,0,1,1,0.496,0.75,0,0.3333,0.75,0.25,0.75,0.75,1,0.3333,0.65,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,E031,1,0.9,1,0.1765,0,0.1324,0,0.5,1,1,1,0.12,0.0833,0.5,0,1,0,0.0801,0.75,0,0.3333,0,0.25,0.5,0.75,0,0.4167,0.75,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Besakoa,E032,1,0.96,1,0.1961,0,0.1471,0.4545,0.6364,1,0,1,0.72,0.3333,0.25,0.25,1,0.2,0.1866,0.75,0,0.3333,0.75,0.25,0.75,0.25,0,0.4167,0.8,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E033,1,0.99,1,0.0784,0,0.0588,0.5,0.75,0,0,0,0.34,0.0833,0.25,0,1,0,0.079,0.25,0,0.3333,0.75,0,0.75,0.75,0,0.25,0.6,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E034,1,0.9,1,0.0588,0,0.0441,0.3333,0.3333,0,0,0,0.12,0.3333,0.5,0.25,1,0,0.1471,0.25,0,0.6667,0.75,0,0.5,0.75,1,0.25,0.6,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E035,1,0.99,1,0.5294,0,0.6471,0.5556,0.7778,0,0,0,0.52,0.3333,0.5,0,1,0,0.1246,0.25,0,0.3333,0.75,0,0.5,0.75,0,0.0833,0.6,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E036,1,0.99,1,0.7059,0,0.7794,0.3333,0.6667,1,0,0,0.7,0.3333,0.5,0,1,0,0.1267,0.25,0,0.3333,0.75,0,0.5,0.75,0,0.3333,0.6,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E037,1,0.99,1,0.549,0,0.6618,0.4,0.6,1,0,0,0.54,0.3333,0.5,0,1,0,0.1196,0.25,0,0.3333,0.75,0,0.5,0.75,0,0.25,0.6,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E038,1,0.99,1,0.3725,0,0.5294,0.6667,0.6667,1,0,1,0.36,0.3333,0.5,0,1,0,0.0907,0.25,0,0.3333,0.75,0,0.5,0.25,0,0.1667,0.6,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E039,1,0.98,1,0.0392,0,0.2794,0,0,1,0,1,0.14,0.2083,0.5,0,1,0,0.073,0.25,0,0.3333,0.75,0,0.5,0.75,0,0.25,0.5,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E040,1,0.95,1,0.1569,0,0.1176,0.5,0.5,0,0,1,0.32,0.3333,0.5,0.25,1,0.8,0.205,0.25,0,0.3333,0.75,0.5,0.5,0.75,0,0.0833,0.65,0.3333,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E041,1,0.97,1,0.1765,0,0.1324,0.5,0.5,1,0,0,0.18,0.3333,0.75,0,1,0,0.3606,0.25,0,0.3333,0.75,0,0.25,0.25,0,0.1667,0.6,0.3333,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E042,1,0.99,1,0.0392,0,0.2794,0.3333,0.3333,1,0,1,0.02,0.2083,0.75,0.25,1,0,0.1731,0.25,0,0.3333,0.75,0,0.25,0.25,1,0.25,0.7,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E043,1,0.99,1,0.4314,0,0.5735,0.625,0.75,1,0,1,0.42,0.2083,0.75,0,1,0,0.0915,0.25,0,0.3333,0.75,0,0.25,0.75,0,0.25,0.6,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E044,1,0.98,1,0.4314,0,0.5735,0.5,0.6667,1,0,1,0.42,0.3333,0.75,0,1,0,0.2151,0.25,0,0.3333,0.75,0,0.25,0.25,1,0.1667,0.5,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E045,1,0.99,1,0.0784,0,0.3088,0.3333,0.3333,1,0,0,0.06,0.3333,0.75,0,1,0.2,0.5067,0.25,0,0.3333,0.75,0,0.25,0.25,0,0.25,0.75,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E046,1,0.98,1,0.0392,0,0.0294,0.3333,0.3333,1,1,1,0.1,0.0833,0.25,0,1,0,0.0306,0.25,0,0.3333,0,0,0.75,0.25,1,0.1667,0.75,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E047,1,0.99,1,0.0784,0,0.0588,0.6,0.6,1,0,1,0.46,0.4583,0.25,0.25,1,0.8,0.2877,0.25,0,0.3333,1,0,0.75,0.75,0,0.25,0.65,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E048,1,0.98,1,0.1373,0,0.3529,0.3333,0.3333,1,0,1,0.12,0.3333,0.5,0.25,1,0.8,0.096,0.25,0,0.3333,0.75,0,0.5,0.75,1,0.25,0.6,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E049,1,0.98,1,0.2549,0,0.4412,0.5,0.5,1,0,0,0.24,0.3333,0.75,0.25,1,0.8,0.0879,0.25,0,0.3333,0.75,0,0.25,0.25,0,0.25,0.6,0.5,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E050,1,0.98,1,0.2157,0,0.1912,0.6667,0.6667,1,1,1,0.2,0.4583,0.25,0.5,1,0.2,0.2903,0.25,0,0.3333,0,0,0.75,0.75,1,0.25,0.6,0.3333,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E051,1,0.99,1,0.0392,0,0.0294,0.3333,0.3333,1,0,1,0.28,0.4583,0.75,0,0,0.4,0.0481,0.25,0,0.6667,0.75,0,0.25,0.75,0,0.25,0.65,0.5,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E052,1,0.99,1,0.1176,0,0.0882,0.6667,0.6667,1,1,1,0.32,0.3333,0.5,0,1,0.8,0.21,0.25,0,0.3333,0.5,0.25,0.5,0.75,1,0.25,0.75,0.5,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E053,1,0.98,1,0.4314,0,0.5735,0.6,0.6,1,0,0,0.42,0.3333,0.5,0,1,0.8,0.2662,0.25,0,0.3333,0.75,0,0.5,0.75,1,0.25,0.65,0.5,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E054,1,0.98,1,0.8235,0,0.8676,0.3333,0.3333,0,1,1,0.82,0.3333,0.75,0,1,0.8,0.1926,0.25,0,0.3333,0.5,0.25,0.25,0.75,0,0.3333,0.75,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E055,1,0.97,1,0.5686,0,0.6765,0.6667,0.6667,1,0,1,0.56,0.3333,0.5,0,1,0.8,0.1661,0.25,0,0.3333,0.75,0.25,0.5,0.75,1,0.25,0.75,0.6667,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E056,1,0.7,1,0.1373,0,0.3529,0.3333,0.3333,0,0,1,0.12,0.2083,0.5,0,1,1,0.0248,0.25,0,0.3333,0.75,0.25,0.5,0.75,1,0.25,0.75,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E057,1,0.95,1,0.1765,0,0.3824,0.5,0.5,0,0,1,0.16,0.3333,0.75,0.25,1,0.2,0.0348,0.25,0,0.3333,0.75,0.25,0.25,0.75,1,0.25,0.65,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E058,1,0.97,1,0,0,0,0,0,1,1,1,0.1,0.2083,0.75,0,1,0,0.0598,0.25,0,0.3333,0,0,0.25,0.25,0,0.25,0.5,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E059,1,0.98,1,0.3725,0,0.5294,0.6,0.6,0,1,0,0.36,0.4583,0.75,0,0,0,0.0666,0.25,0,0.3333,0,0.25,0.25,0.25,1,0.25,0.6,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,E060,1,0.95,1,0.3333,1,0.5,0.6667,0.6667,1,1,1,0.64,0.4583,0.75,0,0,0.8,0.0677,0.25,0,0.3333,0,0,0.25,0.25,1,0.25,0.6,1,0
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,E061,1,0.99,1,0.451,0,0.3382,0.6,0.8,0,1,1,0.46,0.3333,0.75,0.25,1,0,0.3983,0.5,0,0,0,0.25,0.25,1,1,0.75,0.55,0.5,0
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,E062,1,0.99,1,0.3725,0,0.2794,0.6,0.8,0,1,0,0.36,0.3333,0.25,0,1,0,0.2626,0.5,0,0.3333,0,0.75,0.75,0.75,1,0.6667,0.65,0.6667,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,E063,1,0.98,1,0,0,0,0.75,0.9167,0,1,1,0.4,0.0833,0.75,0,1,0.8,0.2246,0.5,0,0,0,0,0.25,0.25,1,0.4167,0.75,1,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,E064,0,0.97,0.4333,0.0784,1,0.0588,0.7143,0.7143,0,0,1,0.4,0.4583,0.25,0.25,0,0.2,0.3408,0.5,1,0.6667,1,0.75,0.75,0.25,1,0.5833,0.65,0,0
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,E065,1,0.98,1,0.098,0,0.0735,0.5,0.5,1,1,0,0.42,0.3333,0.25,0.25,1,0.8,0.2023,0.5,0,0,0,0,0.75,0.25,0,0.25,0.75,1,0
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,E066,1,0.98,1,0.0588,1,0.0441,0.3333,0.3333,1,0,1,0.02,0.0833,0.25,0.25,1,0.4,0.0937,0.5,1,0,0.75,0,0.75,0.75,1,0.5833,0.75,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E067,1,1,1,0.1373,0,0.2059,0.6,0.6,1,1,1,0.12,0.3333,0.75,0,1,0.2,0.019,0.25,0,0.3333,0,0,0.25,0.75,0,0.25,0.75,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E068,1,1,1,0.5686,0,0.5735,0.6,0.8,0,0,1,0.56,0.2083,0.75,0,1,0.2,0.1449,0.25,0,0.3333,0.75,0,0.25,0.25,1,0.25,0.75,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E069,1,0.95,1,0.1961,0,0.3971,0.5,0.75,0,0,1,0.18,0.4583,0.25,0.25,1,1,0.1034,0.25,0,0.3333,0.75,0.25,0.75,1,1,0.8333,0.75,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E070,1,0.97,1,0.0588,0,0.0441,0.5,0.75,0,1,1,0.22,0.3333,0.75,0,1,0.8,0.1669,0.25,0,0.3333,0,0,0.25,0.75,0,0.5833,0.75,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E071,1,1,1,0.2157,0,0.4118,0.3333,0.3333,1,0,0,0.2,0.3333,0.75,0.25,1,0,0.0587,0.25,0,0.3333,0.75,0,0.25,0.75,1,0.5833,0.75,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E072,1,0.95,1,0.5686,0,0.4265,0.5,0.5,0,0,1,0.58,0.3333,0.75,0.25,1,0.8,0.0348,0.25,0,0.6667,0.75,0,0.25,0.75,1,0.3333,0.75,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E073,0,0.9,0.5,0.0196,0,0.0147,0.5,0.75,0,0,1,0.36,0.4583,0.75,0.5,1,0.2,0.0179,0.25,0,0.6667,0.75,0,0.25,0.75,1,0.25,0.75,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E074,1,1,1,0.0784,1,0,0.8,0.8,1,1,1,0.22,0.3333,0.75,0,1,0.2,0.0179,0.25,0,0,0.5,0,0.25,0.25,0,0.1667,0.75,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E075,1,1,1,0,0,0,0,0.5,0,0,1,0.08,0.4583,0.5,0.5,1,0.8,0.0482,0.25,0,0.3333,0.75,0,0.5,0.75,1,0.25,0.75,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E076,0,1,0.4762,0.4706,0,0.3529,0.6,0.8,0,0,0,0.64,0.4583,0.5,0.25,1,0.8,0.019,0.25,0,0.6667,0.75,0.5,0.5,0.75,0,0.4167,0.75,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E077,0,1,0.3684,0.2353,1,0.2059,0.6667,0.8333,0,1,0,0.22,0.4583,0.75,0,0,0.8,0.0316,0.25,0,0.6667,0,0,0.25,0.75,1,0.75,0.65,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E078,0,1,0.4286,0.7451,0,0.8088,0.8182,0.9091,0,0,1,0.74,0.0833,0.75,0.5,0,0.8,0.0587,0.25,0,0.6667,1,0,0.25,0.75,1,0.5833,0.75,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E079,1,1,1,0.3333,0,0.5,0.7143,0.7143,0,0,0,0.32,0.4583,0.75,0,1,1,1,0.25,1,0.3333,0.75,0,0.25,0.75,1,0.25,0.55,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E080,1,1,1,0.4314,0,0.5735,0.3333,0.3333,0,0,1,0.42,0.4583,0.75,0,1,0.8,0.1643,0.25,0,0.3333,0.75,0,0.25,0.75,1,0.4167,0.65,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,E081,1,1,1,0.098,0,0.3235,0.3333,0.3333,0,1,0,0.08,0.4583,0.75,0,1,0.2,0.3966,0.25,0,0.3333,0,0,0.25,0.25,0,0.0833,0.65,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,E082,1,0.8,1,0.2353,0,0.1765,0.6,0.6,0,1,1,0.16,0.4583,0.75,0.25,1,0,0.02,0,0,0.3333,0,0,0.25,0.75,1,0.25,0.55,1,0
