governance_type,ecological_site,Site,Region,District,Village,surveyNo,a.1.1,a.1.2,a.1.3,a.1.4,a.2.1,a.2.2,a.2.3,a.2.4,a.3.1,a.3.2,a.3.3,a.4.1,a.4.2,a.4.3,b.1.1,b.1.2,b.1.3,b.2.1,b.2.2,b.2.3,b.3.1,b.3.2,b.3.3,b.3.4,b.4.1,b.4.2,b.4.3,b.5.1,b.5.2,b.5.3
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,E083,1,0.9,1,0.1569,0,0.3676,0.5,0.5,0,0,1,0.14,0.4583,0.75,0.25,1,0.8,0.1581,0,0,0.3333,0.75,0,0.25,0.25,1,0.25,0.75,1,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,E084,1,0.95,1,0.5882,0,0.6912,0.5,0.75,1,0,1,0.58,0.4583,0.75,0,1,0,0.1707,0,0,0.3333,0.75,0,0.25,0.25,0,0.0833,0.75,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,E085,1,0.97,1,0.1176,0,0.3382,0.3333,0.3333,1,1,0,0.1,0.4583,0.75,0.25,0,0.8,0.0471,0,0,0.3333,0,0,0.25,0.25,1,0.25,0.75,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,E086,1,0.97,1,0.5882,0,0.6912,0.7778,0.7778,0,0,1,0.58,0.4583,0.75,0,1,0,0.2008,0,0,0.3333,0.75,0,0.25,0.25,0,0.3333,0.75,1,0
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,E087,1,0.9,1,0.1961,0,0.3971,0.3333,0.3333,1,0,1,0.18,0.4583,0.25,0.25,0,0.8,0.0598,0,0,0.3333,0.75,0.25,0.75,0.75,1,0.0833,0.75,1,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Analanabe,E088,1,0.9,1,0,0,0,0.5,0.6667,1,0,0,0.46,0.4583,0.25,0.25,1,0,0.0211,0.5,0,0.3333,0.75,0.25,0.75,0.25,1,0.25,0.75,1,0
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Analanabe,E089,0,0.95,0.4333,0.1176,0,0.0882,0.75,0.75,1,0,0,0.4,0.4583,0.75,0,1,0.8,0.3299,0.5,0,0.6667,0.75,0,0.25,0.75,0,0.5833,0.75,1,0
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Analanabe,E090,1,0.93,0.5,0.5294,1,0.6471,0.4,0.8,1,1,1,0.52,0.2083,0.75,0.25,1,1,0.4223,0.5,0,0.3333,0,0.25,0.25,0.75,1,0.1667,0.75,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P001,0,0.8,0.2222,0.098,0,0.0735,0.3333,0.3333,0,0,1,0.2,0.2083,0,0.5,1,1,0.3561,0.5,1,0.6667,1,0.25,1,0.75,1,1,0.45,0.5,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P002,1,0.85,1,0.8235,1,0.8676,0,-1,1,1,1,0.92,0.2083,0.75,0.25,1,0.8,0.0622,0.5,1,0.3333,0.25,0.25,0.25,0.25,1,0.5833,0.85,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P003,1,0.85,1,0.2549,0,0.4412,0.5,0.5,1,1,1,0.24,0.3333,1,0,1,0.8,0.1279,0.5,1,0.3333,0,0,0,0.5,0,0.5833,0.7,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P004,1,0.95,0.8,0.1961,0,0.3971,0,0,1,0,1,0.18,0.2083,0.75,0,1,0.8,0.1966,0.5,0,0.3333,1,0,0.25,0,1,0.3333,0.2,0.5,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P005,0,0.9,0.375,0.2157,0,0.1618,0.5,0.75,1,0,1,0.32,0.3333,1,0.25,1,0.6,0.4331,0.5,0,0.3333,1,0.5,0,0.5,0,0.5833,1,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P006,1,0.95,1,0.1961,0,0.3971,0.5,0.5,1,0,1,0.18,0.3333,0,0,1,0,0.4132,0.5,0,0.3333,0.75,0.25,1,0,1,0.0833,0.9,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P007,1,0.8,0.8,0.4314,1,0.5735,0.4667,0.8,1,1,1,0.52,0.3333,1,0,1,0.4,0.2742,0.5,0,0.6667,0,0.25,0,0.25,1,0.5833,0.75,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P008,1,0.8,0.625,0.6667,0,0.75,0.5,0.8333,1,1,0,0.66,0.2083,0.5,0,1,0.4,0.1644,0.5,0,0.6667,0,0.5,0.5,1,1,1,0.9,1,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P009,1,0.9,1,0.6275,1,0.7206,0,0,1,1,1,0.72,0.3333,0.75,0,1,0.4,0.0363,0.5,0,0.3333,0,0,0.25,0.5,1,0.25,1,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P010,1,0.9,1,0.5098,0,0.6324,0.3333,0.3333,1,0,1,0.5,0.2083,0.25,0,1,0.8,0.3469,0.5,0,0.6667,1,0,0.75,0.5,1,0.8333,0.65,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P011,1,0.9,0.6667,0.1765,0,0.1324,0.6,0.6,1,0,1,0.36,0.3333,1,0.25,1,1,0.38,0.5,0,0.3333,1,0.5,0,0.75,1,0.5833,0.9,0.6667,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P012,1,0.85,1,0.0392,0,0.2794,0.5714,0.7143,1,0,1,0.5,0.2083,0.25,0,1,0.8,0.1077,0.5,0,0.6667,1,0.25,0.75,0.25,0,0.5,0.8,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P013,1,0.9,1,0.3333,1,0.5,0.625,0.625,1,1,1,0.36,0.2083,1,0,1,0.6,0.251,0.5,0,0.3333,0.25,0.5,0,0,0,0.0833,0.95,1,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P014,0,0.95,0.4,0.6275,1,0.7206,0,0,1,0,0,0.68,0.2083,1,0,1,1,0.2853,0.5,0,1,1,0.5,0,0.75,0,0.6667,0.95,0.6667,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P015,1,0.95,1,0.0392,0,0.2794,0.3333,0.3333,1,1,1,0.1,0.2083,0.75,0,1,0.8,0.0543,0.5,0,0,0,0.25,0.25,0.25,0,0.4167,0.85,0,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P016,1,0.95,1,0.1961,0,0.3971,0.4286,0.4286,1,1,1,0.18,0.2083,0.25,0,1,0.8,0.2105,0.5,0,0.3333,0,0.25,0.75,0.5,0,0.4167,0.85,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P017,1,0.9,1,0.098,0,0.0735,0.5,0.5,1,1,1,0.12,0.2083,0.25,0.25,0,0.8,0.0262,0.5,0,0.3333,0,0.25,0.75,0,1,0.25,0.8,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P018,1,0.9,1,0.3725,1,0.2794,0.25,0.25,1,1,1,0.78,0.2083,0,0,1,1,0.0405,0.5,0,0.3333,0.25,0,1,0.75,1,0.4167,1,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,P019,0,0.9,0.4,0.0392,1,0.2794,0.5,0.6667,0,0,1,0.6,0.3333,1,0.25,1,0.8,0.2509,0.5,0,1,1,0.75,0,0.25,1,1,0.9,0.5,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Besakoa,P020,1,0.98,0.6667,0.3725,0,0.2794,0.5,0.5,1,1,1,0.26,0.3333,0.75,0.5,1,0.2,0.2299,0.75,0,0.3333,0,0,0.25,0,0,0.25,0.75,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Besakoa,P021,1,0.95,0.6667,0.2157,0,0.1618,0,0.5,1,1,1,0.04,0.3333,0,0.25,1,0.4,0.1924,0.75,0,0.3333,0,0.25,1,0,0,0.25,0.75,0.6667,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Besakoa,P022,1,0.85,0.625,0.0392,0,0.1912,0,0.1667,1,0,1,0.02,0.2083,0.25,0.25,1,0.8,0.0741,0.75,0,0.3333,0.75,1,0.75,0,1,0.0833,0.75,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Besakoa,P023,1,0.95,1,0.3725,0,0.2794,0.7143,0.7143,1,0,1,0.2,0.7083,0.5,0.25,1,0.8,0.0741,0.75,0,0.3333,0.75,0.5,0.5,0,1,0.3333,0.45,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P024,1,0.95,1,0.1961,0,0.3971,0.1667,0.1667,1,0,1,0.18,0.3333,1,0.25,0,0.6,0.1976,0.25,0,0.3333,0.75,0.25,0,0.25,0,0.5,0.85,0.5,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P025,1,0.96,0.6,0.2353,0,0.4265,0.5,0.5,1,0,1,0.3,0.2083,0.75,0,1,0.6,0.5413,0.25,0,0.3333,1,0.25,0.25,0,1,0.1667,0.9,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P026,1,0.95,1,0.1765,0,0.1324,0.5,0.5,1,0,1,0.1,0.3333,1,0,1,0.8,0.12,0.25,0,0.3333,0.75,0,0,0.25,0,0.4167,0.8,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P027,1,0.98,1,0.1373,0,0.1029,0.5,0.5,1,0,1,0.26,0.2083,0.25,0.25,1,0.8,0.0546,0.25,0,0.3333,1,0.5,0.75,0,1,0.4167,0.6,0.6667,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P028,1,0.99,1,0.0784,0,0.3088,0.3333,0.3333,1,1,1,0.06,0.2083,1,0.25,1,0.8,0.0679,0.25,0,0.3333,0,0,0,0.25,1,0.25,0.65,0.5,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P029,1,0.98,1,0.0392,0,0.2794,0.2,0.2,1,0,1,0.02,0.2083,0.25,0.5,1,0.8,0.0531,0.25,0,0.6667,1,0.25,0.75,0,0,0.1667,0.65,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P030,1,0.99,1,0.0784,0,0.3088,0.4,0.4,1,1,1,0.06,0.2083,0.25,0,1,0.8,0.0438,0.25,0,0.3333,0,0.25,0.75,0,1,0.4167,0.6,0.5,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P031,1,0.95,1,0.5686,0,0.4265,0.6,0.6,1,1,1,0.62,0.3333,1,0,0,1,0.0338,0.25,0,0.3333,0,0.25,0,0.75,0,0.5833,0.4,0.3333,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P032,1,0.99,1,0,0,0,0,0,1,0,1,0.38,0.3333,0,1,0,0.8,0.2799,0.25,0,0,1,0.5,1,0,0,0.25,0.7,0.5,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P033,1,0.95,0.5,0.2353,0,0.4265,0.1429,0.1429,1,0,1,0.28,0.2083,0,0.5,1,0.8,0.2027,0.25,0,0.6667,1,0,1,1,1,0.75,0.7,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P034,1,0.98,1,0.2353,1,0.4265,0.5,0.5,1,0,1,0.32,0.3333,1,0,1,0.8,0.1648,0.25,0,0.6667,0.75,0,0,0,1,0.5,0.65,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P035,1,0.95,0.4667,0.2353,0,0.4265,0.5,0.5,1,0,1,0.26,0.3333,1,0,1,0,0.2268,0.25,0,0.3333,1,0,0,0,1,0.5,0.65,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P036,1,0.95,0.4,0.2157,0,0.4118,0,0,1,0,1,0.2,0.3333,0,0.5,1,0.8,0.2862,0.25,0,0.3333,0.75,0.5,1,0.75,1,0.4167,0.85,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P037,1,0.98,1,0.0392,0,0.1324,0.25,0.625,1,0,1,0.42,0.2083,1,0,1,1,0.0919,0.25,0,0.3333,0.75,0.75,0,0.75,0,0.6667,0.95,0.5,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P038,1,0.97,1,0.1373,0,0.1618,0,0,1,1,1,0.12,0.2083,1,0.25,1,0.8,0.6893,0.25,0,0.3333,0,0.5,0,1,0,0.3333,0.85,0.5,0
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P039,1,0.98,0.6,0.1765,0,0.1324,0.3333,0.3333,1,1,1,0.18,0.3333,0.25,0.25,1,0.8,0.4454,0.25,0,0.6667,0,1,0.75,1,1,0.5833,0.65,0.3333,1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,P040,1,0.98,1,0.2941,0,0.4265,0.3333,0.3333,1,1,1,0.28,0.2083,1,0.25,0,0.8,0.2542,0.25,0,0.3333,0,0.25,0,0,1,0.4167,0.8,0.5,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,P041,1,0.95,1,0.0784,0,0.0588,0.25,0.25,1,1,1,0.22,0.3333,0,0,1,0.4,0.0392,0.5,0,0.3333,0,0.5,1,0.25,1,0.8333,0.85,0.6667,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,P042,1,0.95,1,0.2157,0,0.1618,0.3333,0.6667,0,0,1,0.6,0.2083,0.25,0.25,1,1,0.0103,0.5,1,0,1,0,0.75,1,1,0.8333,0.85,0.6667,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,P043,1,0.95,1,0.3725,0,0.2794,0,0,1,0,1,0.86,0.3333,0.75,0,1,1,0.1135,0.5,1,0,1,0,0.25,0.75,1,0.8333,0.95,0.6667,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,P044,1,0.95,1,0.1373,1,0.1029,0.6667,0.6667,1,1,1,0.7,0.3333,1,0,0,0.8,0.0135,0.5,0,0,0,0,0,0.25,0,0.75,0.9,0.6667,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,P045,1,0.95,1,0.0196,0,0.0147,0.5,0.5,1,1,1,0.1,0.3333,0.25,0,0,0.8,0.0272,0.5,0,0.3333,0,0,0.75,0,1,0.25,0.8,0.6667,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,P046,1,0.95,0.6667,0.0392,1,0.0294,0.5,0.5,1,1,1,0.12,0.2083,0.25,0.25,0,0.8,0.0196,0.5,0,0.3333,0,0.25,0.75,0.5,1,0.5833,1,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,P047,1,0.95,0.3333,0.5686,0,0.4265,0,0,1,0,1,0.62,0.2083,1,0.25,1,0.8,0.1363,0.25,0,0.3333,1,0,0,0,0,0.1667,1,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,P048,1,0.95,1,0.0588,0,0.0441,0.6,0.8,0,0,1,0.46,0.2083,1,0,1,0.8,0.6417,0.25,0,0.3333,1,0,0,0.5,0,0.5833,0.85,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,P049,1,0.92,0.5,0.1176,0,0.0882,0.5,0.5,1,0,1,0.18,0.3333,1,0,1,1,0.1201,0.25,0,0.6667,1,0.25,0,0.75,0,0.6667,0.85,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,P050,1,1,1,0.0784,1,0.0588,0,0,1,0,1,0.32,0.3333,1,0,1,0.8,0,0.25,0,0.6667,1,0,0,0.5,0,0.4167,0.95,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,P051,1,1,0.3333,0.5098,1,0.5735,0.2,0.2,1,0,1,0.42,0.3333,0.5,0,1,0,0.1464,0.25,0,0.3333,1,0,0.5,0,0,0.1667,0.95,0,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,P052,1,1,1,0.2157,1,0.2059,0.75,0.875,0,1,1,0.22,0.3333,1,0,1,0.8,0.0262,0.25,0,0.6667,0.25,0,0,0.5,0,0.4167,0.75,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,P053,0,1,0.3333,0.0784,1,0.0588,0.8571,0.8571,1,0,1,0.62,0.2083,0.25,0.25,1,0.8,0.0251,0.25,0,0.3333,1,0,0.75,0,0,0.1667,0.95,0,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,P054,1,1,1,0.1373,1,0.3529,0.5,0.3333,1,1,1,0.22,0.2083,0.25,0,1,0.8,0.0381,0.25,0,0.3333,0.25,0,0.75,0.25,0,0.25,0.9,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,P055,1,0.95,0.5,0.098,0,0.0735,0.5,0.5,1,0,1,0.52,0.2083,0.25,0,1,0.8,0.0987,0.25,0,0.3333,1,0,0.75,0.5,0,0.25,0.9,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,P056,0,1,0.4,0.0196,1,0.0147,0.5,0.5,1,0,0,0.06,0.3333,1,0.5,1,1,0.0262,0.25,1,0.6667,1,0,0,0,0,0.0833,0.8,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,P057,1,0.98,1,0.7647,0,0.8235,0,0.4,1,1,1,0.76,0.3333,1,0,1,1,0.5004,0.25,0,0.3333,0,0,0,0.75,0,0.6667,0.65,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Lagnamena,P058,0,0.95,0.5,0.0588,1,0.0441,0.5,0.5,1,1,1,0.28,0.3333,0.75,1,0,0.8,0.4515,0.25,0,0.6667,0,0.5,0.25,0.75,1,0.75,0.8,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,P059,1,0.95,1,0.1569,0,0.3676,0,0.6667,1,1,0,0.14,0.3333,0.25,0,1,0.8,0.0672,0,0,0.6667,0,0.25,0.75,0.5,0,0.3333,1,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,P060,1,0.95,1,0.0392,0,0.2794,0,0,1,1,1,0.04,0.3333,0.25,0.25,1,0,0.1507,0,0,0.6667,0.25,0.5,0.75,0,0,0.1667,1,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,P061,1,0.95,1,0.0784,0,0.3088,0,0,1,1,1,0.06,0.2083,0.25,0,0,0.8,0.1788,0,0,0.3333,0,0.25,0.75,0.5,1,0.25,0.95,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,P062,1,0.95,1,0.2353,0,0.4265,0.5,0.5,1,1,1,0.22,0.2083,0,0,1,0.8,0.1932,0,0,0.6667,0.25,0.5,1,0,1,0.1667,0.95,0.6667,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,P063,1,0.99,1,0.0588,0,0.0441,0.3333,0.3333,1,1,1,0.12,0.2083,1,0.25,1,0.8,0.5785,0,0,0.6667,0.25,0,0,0.75,1,0.5833,0.95,0.8333,1
Well established LMMAs,"Coral_reef,_Seagrass_bed,_Mangrove",Sahamalaza,Sofia,Analalava,Maromanjo,P064,1,0.95,1,0.7059,0,0.7206,0,0,1,0,1,0.84,0.3333,1,0,1,0.8,0.1435,0,0,0.6667,0.75,0,0,0.75,1,0.1667,1,0.6667,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Analanabe,P065,1,0.98,1,0.0196,1,0.0147,0.2857,0.5714,1,0,1,0.6,0.2083,0.25,0.25,1,0.8,0.0489,0.5,0,0,0.75,0.25,0.75,0.75,1,0.6667,0.9,0.6667,1
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Analanabe,P066,1,0.97,1,0.1176,0,0.3382,0,0,1,0,1,0.1,0.2083,0.75,0,1,0,0.0395,0.5,0,0,0.75,0.25,0.25,0.5,1,0.5,0.9,0.6667,1
