id,item,type,dom_id,dimension,score,id_original,total_indicator,i_weighted,i_weight,total_domain,type_score,total_item,d_weighted
a.1.1,Employment statuts,indicator,1,Sensitivity,baseline,a.1.1,4.0,0.16362385321100917,33.0,4,indicator_baseline,4.0,1.3498967889908255
a.1.2,Percentage of catch from fishing sold,indicator,1,Sensitivity,baseline,a.1.2,4.0,0.31014825688073394,33.0,4,indicator_baseline,4.0,2.558723119266055
a.1.3,Percentage of income from the main activity,indicator,1,Sensitivity,baseline,a.1.3,4.0,0.31277202110091745,33.0,4,indicator_baseline,4.0,2.580369174082569
a.1.4,Time conducting the activity,indicator,1,Sensitivity,baseline,a.1.4,4.0,0.03708310825688073,33.0,4,indicator_baseline,4.0,0.305935643119266
a.2.1,Gender,indicator,2,Sensitivity,baseline,a.2.1,4.0,0.03772477064220184,22.9,4,indicator_baseline,4.0,0.21597431192660552
a.2.2,Years living in the village,indicator,2,Sensitivity,baseline,a.2.2,4.0,0.06491322018348623,22.9,4,indicator_baseline,4.0,0.3716281855504587
a.2.3,Percentage of children in the family members,indicator,2,Sensitivity,baseline,a.2.3,4.0,0.09749510917431195,22.9,4,indicator_baseline,4.0,0.5581595000229359
a.2.4,Percentage Family dependency,indicator,2,Sensitivity,baseline,a.2.4,4.0,0.13638048165137615,22.9,4,indicator_baseline,4.0,0.7807782574541284
a.3.1,Appreciation of biodiversity,indicator,3,Sensitivity,baseline,a.3.1,3.0,0.21472477064220183,17.8,4,indicator_baseline,3.0,1.2740336391437308
a.3.2,Identity and pride,indicator,3,Sensitivity,baseline,a.3.2,3.0,0.14779357798165138,17.8,4,indicator_baseline,3.0,0.8769085626911316
a.3.3,Appreciation of lifestyle,indicator,3,Sensitivity,baseline,a.3.3,3.0,0.2851192660550459,17.8,4,indicator_baseline,3.0,1.691707645259939
a.4.1,Age,indicator,4,Sensitivity,baseline,a.4.1,3.0,0.06516697247706421,26.3,4,indicator_baseline,3.0,0.571297125382263
a.4.2,Nutritional dependecy,indicator,4,Sensitivity,baseline,a.4.2,3.0,0.172485747706422,26.3,4,indicator_baseline,3.0,1.5121250548929661
a.4.3,Sense of place,indicator,4,Sensitivity,baseline,a.4.3,3.0,0.1445447247706422,26.3,4,indicator_baseline,3.0,1.2671754204892967
b.1.1,Level of education,indicator,5,Adaptive Capacity,baseline,b.1.1,3.0,0.05591972477064219,24.1,5,indicator_baseline,3.0,0.44922178899082565
b.1.2,Knowledge of rules,indicator,5,Adaptive Capacity,baseline,b.1.2,3.0,0.25688073394495414,24.1,5,indicator_baseline,3.0,2.063608562691132
b.1.3,Access to information,indicator,5,Adaptive Capacity,baseline,b.1.3,3.0,0.17570642201834866,24.1,5,indicator_baseline,3.0,1.4115082568807342
b.2.1,Material style of life,indicator,6,Adaptive Capacity,baseline,b.2.1,3.0,0.05995100825688073,19.5,5,indicator_baseline,3.0,0.38968155366972473
b.2.2,Community infrastructure,indicator,6,Adaptive Capacity,baseline,b.2.2,3.0,0.15908715596330275,19.5,5,indicator_baseline,3.0,1.034066513761468
b.2.3,Access to credits,indicator,6,Adaptive Capacity,baseline,b.2.3,3.0,0.011506912442396313,19.5,5,indicator_baseline,3.0,0.07479493087557604
b.3.1,Livelihood multiplicity,indicator,7,Adaptive Capacity,baseline,b.3.1,4.0,0.1398913596330275,22.8,5,indicator_baseline,4.0,0.7973807499082568
b.3.2,Adapt to live without fishing,indicator,7,Adaptive Capacity,baseline,b.3.2,4.0,0.09059288990825687,22.8,5,indicator_baseline,4.0,0.5163794724770642
b.3.3,Gear,indicator,7,Adaptive Capacity,baseline,b.3.3,4.0,0.03938073394495412,22.8,5,indicator_baseline,4.0,0.2244701834862385
b.3.4,Spatial mobility,indicator,7,Adaptive Capacity,baseline,b.3.4,4.0,0.07484288990825688,22.8,5,indicator_baseline,4.0,0.42660447247706423
b.4.1,Perceived capacity,indicator,8,Adaptive Capacity,baseline,b.4.1,3.0,0.19160091743119265,15.3,5,indicator_baseline,3.0,0.9771646788990825
b.4.2,Recognition of causality,indicator,8,Adaptive Capacity,baseline,b.4.2,3.0,0.16106422018348623,15.3,5,indicator_baseline,3.0,0.8214275229357798
b.4.3,Level of participation,indicator,8,Adaptive Capacity,baseline,b.4.3,3.0,0.13052143119266055,15.3,5,indicator_baseline,3.0,0.6656592990825688
b.5.1,Trust in organizations,indicator,9,Adaptive Capacity,baseline,b.5.1,3.0,0.24406444954128442,18.3,5,indicator_baseline,3.0,1.4887931422018352
b.5.2,Community cohesion,indicator,9,Adaptive Capacity,baseline,b.5.2,3.0,0.23802316192660553,18.3,5,indicator_baseline,3.0,1.4519412877522937
b.5.3,Linking social capital,indicator,9,Adaptive Capacity,baseline,b.5.3,3.0,0.20256880733944954,18.3,5,indicator_baseline,3.0,1.2356697247706423
a.1,Livelihood - Economic dependency,domain,1,Sensitivity,baseline,a.1,,0.8236272394495413,33.0,4,domain_baseline,1.0,27.179698901834865
a.2,Demographic ,domain,2,Sensitivity,baseline,a.2,,0.3365135816513762,22.9,4,domain_baseline,1.0,7.7061610198165145
a.3,Cultural,domain,3,Sensitivity,baseline,a.3,,0.6476376146788991,17.8,4,domain_baseline,1.0,11.527949541284405
a.4,Health,domain,4,Sensitivity,baseline,a.4,,0.38219744495412844,26.3,4,domain_baseline,1.0,10.051792802293578
b.1,Learning,domain,5,Adaptive Capacity,baseline,b.1,,0.488506880733945,24.1,5,domain_baseline,1.0,11.773015825688075
b.2,Assets,domain,6,Adaptive Capacity,baseline,b.2,,0.2305450766625798,19.5,5,domain_baseline,1.0,4.495628994920306
b.3,Flexibility,domain,7,Adaptive Capacity,baseline,b.3,,0.3447078733944954,22.8,5,domain_baseline,1.0,7.859339513394495
b.4,Agency,domain,8,Adaptive Capacity,baseline,b.4,,0.48318656880733946,15.3,5,domain_baseline,1.0,7.392754502752294
b.5,Organization,domain,9,Adaptive Capacity,baseline,b.5,,0.6846564188073395,18.3,5,domain_baseline,1.0,12.529212464174314
a.1.1_m,Employment statuts,indicator,1,Sensitivity,marginal,a.1.1,4.0,0.8363761467889909,33.0,4,indicator_marginal,4.0,6.900103211009174
a.1.2_m,Percentage of catch from fishing sold,indicator,1,Sensitivity,marginal,a.1.2,4.0,0.6898517431192661,33.0,4,indicator_marginal,4.0,5.6912768807339456
a.1.3_m,Percentage of income from the main activity,indicator,1,Sensitivity,marginal,a.1.3,4.0,0.6872279788990825,33.0,4,indicator_marginal,4.0,5.66963082591743
a.1.4_m,Time conducting the activity,indicator,1,Sensitivity,marginal,a.1.4,4.0,0.9629168917431192,33.0,4,indicator_marginal,4.0,7.944064356880734
a.2.1_m,Gender,indicator,2,Sensitivity,marginal,a.2.1,4.0,0.9622752293577982,22.9,4,indicator_marginal,4.0,5.509025688073394
a.2.2_m,Years living in the village,indicator,2,Sensitivity,marginal,a.2.2,4.0,0.9350867798165138,22.9,4,indicator_marginal,4.0,5.353371814449541
a.2.3_m,Percentage of children in the family members,indicator,2,Sensitivity,marginal,a.2.3,4.0,0.9025048908256881,22.9,4,indicator_marginal,4.0,5.166840499977064
a.2.4_m,Percentage Family dependency,indicator,2,Sensitivity,marginal,a.2.4,4.0,0.8636195183486238,22.9,4,indicator_marginal,4.0,4.944221742545871
a.3.1_m,Appreciation of biodiversity,indicator,3,Sensitivity,marginal,a.3.1,3.0,0.7852752293577981,17.8,4,indicator_marginal,3.0,4.6592996941896025
a.3.2_m,Identity and pride,indicator,3,Sensitivity,marginal,a.3.2,3.0,0.8522064220183486,17.8,4,indicator_marginal,3.0,5.056424770642202
a.3.3_m,Appreciation of lifestyle,indicator,3,Sensitivity,marginal,a.3.3,3.0,0.7148807339449541,17.8,4,indicator_marginal,3.0,4.241625688073395
a.4.1_m,Age,indicator,4,Sensitivity,marginal,a.4.1,3.0,0.9348330275229357,26.3,4,indicator_marginal,3.0,8.195369541284403
a.4.2_m,Nutritional dependecy,indicator,4,Sensitivity,marginal,a.4.2,3.0,0.827514252293578,26.3,4,indicator_marginal,3.0,7.254541611773701
a.4.3_m,Sense of place,indicator,4,Sensitivity,marginal,a.4.3,3.0,0.8554552752293578,26.3,4,indicator_marginal,3.0,7.499491246177371
b.1.1_m,Level of education,indicator,5,Adaptive Capacity,marginal,b.1.1,3.0,0.9440802752293578,24.1,5,indicator_marginal,3.0,7.584111544342508
b.1.2_m,Knowledge of rules,indicator,5,Adaptive Capacity,marginal,b.1.2,3.0,0.7431192660550459,24.1,5,indicator_marginal,3.0,5.969724770642202
b.1.3_m,Access to information,indicator,5,Adaptive Capacity,marginal,b.1.3,3.0,0.8242935779816514,24.1,5,indicator_marginal,3.0,6.621825076452599
b.2.1_m,Material style of life,indicator,6,Adaptive Capacity,marginal,b.2.1,3.0,0.9400489917431193,19.5,5,indicator_marginal,3.0,6.110318446330275
b.2.2_m,Community infrastructure,indicator,6,Adaptive Capacity,marginal,b.2.2,3.0,0.8409128440366973,19.5,5,indicator_marginal,3.0,5.465933486238533
b.2.3_m,Access to credits,indicator,6,Adaptive Capacity,marginal,b.2.3,3.0,0.9884930875576037,19.5,5,indicator_marginal,3.0,6.425205069124424
b.3.1_m,Livelihood multiplicity,indicator,7,Adaptive Capacity,marginal,b.3.1,4.0,0.8601086403669724,22.8,5,indicator_marginal,4.0,4.902619250091743
b.3.2_m,Adapt to live without fishing,indicator,7,Adaptive Capacity,marginal,b.3.2,4.0,0.9094071100917431,22.8,5,indicator_marginal,4.0,5.183620527522936
b.3.3_m,Gear,indicator,7,Adaptive Capacity,marginal,b.3.3,4.0,0.9606192660550459,22.8,5,indicator_marginal,4.0,5.475529816513761
b.3.4_m,Spatial mobility,indicator,7,Adaptive Capacity,marginal,b.3.4,4.0,0.9251571100917431,22.8,5,indicator_marginal,4.0,5.273395527522935
b.4.1_m,Perceived capacity,indicator,8,Adaptive Capacity,marginal,b.4.1,3.0,0.8083990825688073,15.3,5,indicator_marginal,3.0,4.122835321100918
b.4.2_m,Recognition of causality,indicator,8,Adaptive Capacity,marginal,b.4.2,3.0,0.8389357798165138,15.3,5,indicator_marginal,3.0,4.278572477064221
b.4.3_m,Level of participation,indicator,8,Adaptive Capacity,marginal,b.4.3,3.0,0.8694785688073394,15.3,5,indicator_marginal,3.0,4.434340700917431
b.5.1_m,Trust in organizations,indicator,9,Adaptive Capacity,marginal,b.5.1,3.0,0.7559355504587155,18.3,5,indicator_marginal,3.0,4.611206857798165
b.5.2_m,Community cohesion,indicator,9,Adaptive Capacity,marginal,b.5.2,3.0,0.7619768380733944,18.3,5,indicator_marginal,3.0,4.648058712247706
b.5.3_m,Linking social capital,indicator,9,Adaptive Capacity,marginal,b.5.3,3.0,0.7974311926605504,18.3,5,indicator_marginal,3.0,4.864330275229357
a.1_m,Livelihood - Economic dependency,domain,1,Sensitivity,marginal,a.1,,0.1763727605504587,33.0,4,domain_marginal,1.0,5.820301098165137
a.2_m,Demographic ,domain,2,Sensitivity,marginal,a.2,,0.6634864183486238,22.9,4,domain_marginal,1.0,15.193838980183484
a.3_m,Cultural,domain,3,Sensitivity,marginal,a.3,,0.35236238532110087,17.8,4,domain_marginal,1.0,6.272050458715595
a.4_m,Health,domain,4,Sensitivity,marginal,a.4,,0.6178025550458716,26.3,4,domain_marginal,1.0,16.24820719770642
b.1_m,Learning,domain,5,Adaptive Capacity,marginal,b.1,,0.511493119266055,24.1,5,domain_marginal,1.0,12.326984174311926
b.2_m,Assets,domain,6,Adaptive Capacity,marginal,b.2,,0.7694549233374202,19.5,5,domain_marginal,1.0,15.004371005079694
b.3_m,Flexibility,domain,7,Adaptive Capacity,marginal,b.3,,0.6552921266055046,22.8,5,domain_marginal,1.0,14.940660486605505
b.4_m,Agency,domain,8,Adaptive Capacity,marginal,b.4,,0.5168134311926605,15.3,5,domain_marginal,1.0,7.907245497247707
b.5_m,Organization,domain,9,Adaptive Capacity,marginal,b.5,,0.3153435811926605,18.3,5,domain_marginal,1.0,5.770787535825687
