id,raw_mean,item,type,dom_id,dimension,dim_id,score,id_original,type_score,i_weight,i_weighted
a.1.1_m,0.059633027522935755,Employment statuts,indicator,1,Sensitivity,1,marginal,a.1.1,indicator_marginal,17.4,0.010376146788990822
a.1.2_m,0.042752293577981604,Percentage of catch from fishing sold,indicator,1,Sensitivity,1,marginal,a.1.2,indicator_marginal,32.4,0.01385174311926604
a.1.3_m,0.07463899082568803,Percentage of income from the main activity,indicator,1,Sensitivity,1,marginal,a.1.3,indicator_marginal,33.8,0.025227978899082553
a.1.4_m,0.7738834862385321,Time conducting the activity,indicator,1,Sensitivity,1,marginal,a.1.4,indicator_marginal,16.4,0.12691689174311926
a.2.1_m,0.8532110091743119,Gender,indicator,2,Sensitivity,1,marginal,a.2.1,indicator_marginal,25.7,0.21927522935779817
a.2.2_m,0.7049399082568808,Years living in the village,indicator,2,Sensitivity,1,marginal,a.2.2,indicator_marginal,22.0,0.15508677981651378
a.2.3_m,0.5815660550458714,Percentage of children in the family members,indicator,2,Sensitivity,1,marginal,a.2.3,indicator_marginal,23.3,0.13550489082568806
a.2.4_m,0.5297224770642202,Percentage Family dependency,indicator,2,Sensitivity,1,marginal,a.2.4,indicator_marginal,29.0,0.15361951834862386
a.3.1_m,0.28899082568807344,Appreciation of biodiversity,indicator,3,Sensitivity,1,marginal,a.3.1,indicator_marginal,30.2,0.08727522935779816
a.3.2_m,0.536697247706422,Identity and pride,indicator,3,Sensitivity,1,marginal,a.3.2,indicator_marginal,31.9,0.17120642201834863
a.3.3_m,0.24770642201834858,Appreciation of lifestyle,indicator,3,Sensitivity,1,marginal,a.3.3,indicator_marginal,37.9,0.09388073394495411
a.4.1_m,0.686697247706422,Age,indicator,4,Sensitivity,1,marginal,a.4.1,indicator_marginal,20.8,0.1428330275229358
a.4.2_m,0.6869587155963304,Nutritional dependecy,indicator,4,Sensitivity,1,marginal,a.4.2,indicator_marginal,55.1,0.378514252293578
a.4.3_m,0.40022935779816515,Sense of place,indicator,4,Sensitivity,1,marginal,a.4.3,indicator_marginal,24.1,0.09645527522935782
b.1.1_m,0.8520642201834863,Level of education,indicator,5,Adaptive Capacity,2,marginal,b.1.1,indicator_marginal,37.8,0.3220802752293578
b.1.2_m,0.08256880733944949,Knowledge of rules,indicator,5,Adaptive Capacity,2,marginal,b.1.2,indicator_marginal,28.0,0.023119266055045856
b.1.3_m,0.4862385321100917,Access to information,indicator,5,Adaptive Capacity,2,marginal,b.1.3,indicator_marginal,34.2,0.16629357798165137
b.2.1_m,0.8205059633027523,Material style of life,indicator,6,Adaptive Capacity,2,marginal,b.2.1,indicator_marginal,33.4,0.27404899174311925
b.2.2_m,0.6376146788990826,Community infrastructure,indicator,6,Adaptive Capacity,2,marginal,b.2.2,indicator_marginal,43.9,0.27991284403669725
b.2.3_m,0.9493087557603687,Access to credits,indicator,6,Adaptive Capacity,2,marginal,b.2.3,indicator_marginal,22.7,0.21549308755760369
b.3.1_m,0.6620981651376148,Livelihood multiplicity,indicator,7,Adaptive Capacity,2,marginal,b.3.1,indicator_marginal,41.4,0.2741086403669725
b.3.2_m,0.5401376146788991,Adapt to live without fishing,indicator,7,Adaptive Capacity,2,marginal,b.3.2,indicator_marginal,19.7,0.10640711009174313
b.3.3_m,0.805045871559633,Gear,indicator,7,Adaptive Capacity,2,marginal,b.3.3,indicator_marginal,20.2,0.16261926605504587
b.3.4_m,0.5997706422018348,Spatial mobility,indicator,7,Adaptive Capacity,2,marginal,b.3.4,indicator_marginal,18.7,0.11215711009174312
b.4.1_m,0.4736238532110092,Perceived capacity,indicator,8,Adaptive Capacity,2,marginal,b.4.1,indicator_marginal,36.4,0.17239908256880734
b.4.2_m,0.47706422018348627,Recognition of causality,indicator,8,Adaptive Capacity,2,marginal,b.4.2,indicator_marginal,30.8,0.14693577981651376
b.4.3_m,0.6020688073394496,Level of participation,indicator,8,Adaptive Capacity,2,marginal,b.4.3,indicator_marginal,32.8,0.19747856880733944
b.5.1_m,0.2800458715596329,Trust in organizations,indicator,9,Adaptive Capacity,2,marginal,b.5.1,indicator_marginal,33.9,0.09493555045871555
b.5.2_m,0.3019848623853211,Community cohesion,indicator,9,Adaptive Capacity,2,marginal,b.5.2,indicator_marginal,34.1,0.1029768380733945
b.5.3_m,0.3669724770642202,Linking social capital,indicator,9,Adaptive Capacity,2,marginal,b.5.3,indicator_marginal,32.0,0.11743119266055047
a.1.1,0.9403669724770642,Employment statuts,indicator,1,Sensitivity,1,baseline,a.1.1,indicator_baseline,17.4,0.16362385321100917
a.1.2,0.9572477064220184,Percentage of catch from fishing sold,indicator,1,Sensitivity,1,baseline,a.1.2,indicator_baseline,32.4,0.31014825688073394
a.1.3,0.925361009174312,Percentage of income from the main activity,indicator,1,Sensitivity,1,baseline,a.1.3,indicator_baseline,33.8,0.31277202110091745
a.1.4,0.22611651376146788,Time conducting the activity,indicator,1,Sensitivity,1,baseline,a.1.4,indicator_baseline,16.4,0.03708310825688073
a.2.1,0.14678899082568808,Gender,indicator,2,Sensitivity,1,baseline,a.2.1,indicator_baseline,25.7,0.03772477064220184
a.2.2,0.29506009174311926,Years living in the village,indicator,2,Sensitivity,1,baseline,a.2.2,indicator_baseline,22.0,0.06491322018348623
a.2.3,0.4184339449541285,Percentage of children in the family members,indicator,2,Sensitivity,1,baseline,a.2.3,indicator_baseline,23.3,0.09749510917431195
a.2.4,0.4702775229357798,Percentage Family dependency,indicator,2,Sensitivity,1,baseline,a.2.4,indicator_baseline,29.0,0.13638048165137615
a.3.1,0.7110091743119266,Appreciation of biodiversity,indicator,3,Sensitivity,1,baseline,a.3.1,indicator_baseline,30.2,0.21472477064220183
a.3.2,0.463302752293578,Identity and pride,indicator,3,Sensitivity,1,baseline,a.3.2,indicator_baseline,31.9,0.14779357798165138
a.3.3,0.7522935779816514,Appreciation of lifestyle,indicator,3,Sensitivity,1,baseline,a.3.3,indicator_baseline,37.9,0.2851192660550459
a.4.1,0.31330275229357796,Age,indicator,4,Sensitivity,1,baseline,a.4.1,indicator_baseline,20.8,0.06516697247706421
a.4.2,0.3130412844036697,Nutritional dependecy,indicator,4,Sensitivity,1,baseline,a.4.2,indicator_baseline,55.1,0.172485747706422
a.4.3,0.5997706422018348,Sense of place,indicator,4,Sensitivity,1,baseline,a.4.3,indicator_baseline,24.1,0.1445447247706422
b.1.1,0.14793577981651376,Level of education,indicator,5,Adaptive Capacity,2,baseline,b.1.1,indicator_baseline,37.8,0.05591972477064219
b.1.2,0.9174311926605505,Knowledge of rules,indicator,5,Adaptive Capacity,2,baseline,b.1.2,indicator_baseline,28.0,0.25688073394495414
b.1.3,0.5137614678899083,Access to information,indicator,5,Adaptive Capacity,2,baseline,b.1.3,indicator_baseline,34.2,0.17570642201834866
b.2.1,0.1794940366972477,Material style of life,indicator,6,Adaptive Capacity,2,baseline,b.2.1,indicator_baseline,33.4,0.05995100825688073
b.2.2,0.3623853211009174,Community infrastructure,indicator,6,Adaptive Capacity,2,baseline,b.2.2,indicator_baseline,43.9,0.15908715596330275
b.2.3,0.05069124423963134,Access to credits,indicator,6,Adaptive Capacity,2,baseline,b.2.3,indicator_baseline,22.7,0.011506912442396313
b.3.1,0.3379018348623853,Livelihood multiplicity,indicator,7,Adaptive Capacity,2,baseline,b.3.1,indicator_baseline,41.4,0.1398913596330275
b.3.2,0.4598623853211009,Adapt to live without fishing,indicator,7,Adaptive Capacity,2,baseline,b.3.2,indicator_baseline,19.7,0.09059288990825687
b.3.3,0.19495412844036697,Gear,indicator,7,Adaptive Capacity,2,baseline,b.3.3,indicator_baseline,20.2,0.03938073394495412
b.3.4,0.40022935779816515,Spatial mobility,indicator,7,Adaptive Capacity,2,baseline,b.3.4,indicator_baseline,18.7,0.07484288990825688
b.4.1,0.5263761467889908,Perceived capacity,indicator,8,Adaptive Capacity,2,baseline,b.4.1,indicator_baseline,36.4,0.19160091743119265
b.4.2,0.5229357798165137,Recognition of causality,indicator,8,Adaptive Capacity,2,baseline,b.4.2,indicator_baseline,30.8,0.16106422018348623
b.4.3,0.39793119266055044,Level of participation,indicator,8,Adaptive Capacity,2,baseline,b.4.3,indicator_baseline,32.8,0.13052143119266055
b.5.1,0.7199541284403671,Trust in organizations,indicator,9,Adaptive Capacity,2,baseline,b.5.1,indicator_baseline,33.9,0.24406444954128442
b.5.2,0.6980151376146789,Community cohesion,indicator,9,Adaptive Capacity,2,baseline,b.5.2,indicator_baseline,34.1,0.23802316192660553
b.5.3,0.6330275229357798,Linking social capital,indicator,9,Adaptive Capacity,2,baseline,b.5.3,indicator_baseline,32.0,0.20256880733944954
