governance_type,ecological_site,Site,Region,District,Village,surveyNo,a.1.1,a.1.2,a.1.3,a.1.4,a.2.1,a.2.2,a.2.3,a.2.4,a.3.1,a.3.2,a.3.3,a.4.1,a.4.2,a.4.3,b.1.1,b.1.2,b.1.3,b.2.1,b.2.2,b.2.3,b.3.1,b.3.2,b.3.3,b.3.4,b.4.1,b.4.2,b.4.3,b.5.1,b.5.2,b.5.3,a.1,a.2,a.3,a.4,b.1,b.2,b.3,b.4,b.5,a,b
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D002,1,0.94,1.0,0.4118,0,0.25,0.6,0.6,0,1,1,0.4,0.3333,0.75,0.25,1,0.0,0.2638,0.5,0.0,0.3333,0.0,1.0,0.25,0.75,1,0.1667,0.3,0.0,0,0.83795,0.3625,0.6666666666666666,0.49443333333333334,0.4166666666666667,0.2546,0.395825,0.6389,0.09999999999999999,0.5903875,0.3611983333333334
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D003,1,0.96,1.0,0.4706,0,0.2794,0.6667,0.3333,0,1,0,0.46,0.4583,0.75,0.0,1,1.0,0.2344,0.5,0.0,0.3333,0.0,0.25,0.25,0.25,0,0.3333,0.75,1.0,1,0.85765,0.31984999999999997,0.3333333333333333,0.5560999999999999,0.6666666666666666,0.2448,0.20832499999999998,0.19443333333333332,0.9166666666666666,0.5167333333333333,0.4461783333333333
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D004,1,0.96,1.0,0.2353,0,0.4265,0.6,0.6,1,1,0,0.22,0.3333,0.75,0.25,1,0.0,0.1939,0.5,0.0,0.3333,0.0,0.5,0.25,0.75,0,0.3333,0.6,0.0,1,0.798825,0.406625,0.6666666666666666,0.4344333333333334,0.4166666666666667,0.23129999999999998,0.270825,0.3611,0.5333333333333333,0.5766374999999999,0.362645
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D005,1,0.97,1.0,0.1569,0,0.3676,0.7143,0.7143,0,1,1,0.14,0.3333,0.75,0.25,1,0.0,0.1738,0.5,0.0,0.3333,0.5,0.75,0.25,0.75,0,0.3333,0.75,0.0,1,0.7817249999999999,0.44905000000000006,0.6666666666666666,0.40776666666666667,0.4166666666666667,0.2246,0.458325,0.3611,0.5833333333333334,0.5763020833333333,0.408805
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D006,1,0.98,1.0,0.5294,0,0.6471,0.5,0.8,1,0,1,0.52,0.4583,0.75,0.0,1,0.0,0.3186,0.5,0.0,0.3333,1.0,0.0,0.25,0.75,0,0.5,0.75,0.0,1,0.87735,0.486775,0.6666666666666666,0.5761,0.3333333333333333,0.27286666666666665,0.395825,0.4166666666666667,0.5833333333333334,0.6517229166666666,0.400405
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D007,1,0.98,1.0,0.3137,1,0.4853,0.5,0.5,1,1,1,0.3,0.4583,0.75,0.25,1,0.0,0.3461,0.5,0.0,0.3333,0.5,0.5,0.25,0.75,0,0.3333,0.75,0.0,1,0.823425,0.621325,1.0,0.5027666666666667,0.4166666666666667,0.28203333333333336,0.395825,0.3611,0.5833333333333334,0.7368791666666666,0.40779166666666666
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D008,1,0.98,1.0,0.1176,0,0.0882,0.5,0.5,1,0,1,0.1,0.4583,0.75,0.25,1,0.0,0.1,0.5,0.0,0.3333,0.75,0.5,0.25,0.75,0,0.3333,0.75,0.0,0,0.7744,0.27205,0.6666666666666666,0.4361,0.4166666666666667,0.19999999999999998,0.458325,0.3611,0.25,0.5373041666666667,0.3372183333333333
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D009,1,0.94,1.0,0.1176,0,0.3382,0.3333,0.6667,1,1,0,0.1,0.3333,0.75,0.25,1,0.0,0.0521,0.5,0.0,0.0,0.0,0.5,0.25,0.25,0,0.3333,0.3,0.0,1,0.7644,0.33455,0.6666666666666666,0.39443333333333336,0.4166666666666667,0.18403333333333335,0.1875,0.19443333333333332,0.43333333333333335,0.5400124999999999,0.28319333333333335
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D010,1,0.98,1.0,0.1765,0,0.1324,0.3333,0.6667,1,1,1,0.22,0.3333,0.75,0.0,1,0.0,0.0741,0.5,0.0,0.0,0.0,0.25,0.25,0.75,0,0.3333,0.75,0.0,1,0.789125,0.2831,1.0,0.4344333333333334,0.3333333333333333,0.19136666666666668,0.125,0.3611,0.5833333333333334,0.6266645833333333,0.31882666666666665
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D011,1,0.98,1.0,0.1765,0,0.1324,0.0,0.0,1,1,1,0.02,0.3333,0.75,0.25,1,1.0,0.1275,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0,0.3333,0.3,1.0,1,0.789125,0.0331,1.0,0.36776666666666663,0.75,0.2925,0.0625,0.11109999999999999,0.7666666666666666,0.5474979166666667,0.3965533333333333
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D012,1,0.97,1.0,0.1569,0,0.1176,0.0,0.0,1,1,1,0.02,0.3333,0.75,0.5,1,1.0,0.2284,0.75,0.0,0.0,0.0,0.75,0.25,0.75,0,0.3333,0.75,0.0,1,0.7817249999999999,0.0294,1.0,0.36776666666666663,0.8333333333333334,0.32613333333333333,0.25,0.3611,0.5833333333333334,0.5447229166666666,0.47078
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D013,1,0.98,1.0,0.0588,0,0.0441,0.0,0.5,1,1,1,0.36,0.3333,0.75,0.0,1,0.8,0.0221,0.75,0.0,0.0,0.0,0.0,0.25,0.25,0,0.3333,0.75,0.0,1,0.7597,0.136025,1.0,0.4811,0.6,0.2573666666666667,0.0625,0.19443333333333332,0.5833333333333334,0.59420625,0.33952666666666664
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D014,1,0.86,1.0,0.0392,0,0.0294,0.5,0.5,1,1,1,0.1,0.4583,0.75,0.25,1,0.4,0.0796,0.75,0.0,0.0,0.0,0.25,0.25,0.75,0,0.3333,0.45,0.0,1,0.7248,0.25734999999999997,1.0,0.4361,0.5499999999999999,0.27653333333333335,0.125,0.3611,0.48333333333333334,0.6045625,0.35919333333333336
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D015,1,0.96,1.0,0.0196,0,0.0147,0.5,0.5,1,1,0,0.12,0.4583,0.75,0.0,1,1.0,0.3453,0.75,0.0,0.3333,0.0,0.25,0.25,0.75,0,0.3333,0.6,0.0,1,0.7449,0.253675,0.6666666666666666,0.4427666666666667,0.6666666666666666,0.3651,0.20832499999999998,0.3611,0.5333333333333333,0.5270020833333333,0.4269049999999999
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D016,1,0.99,1.0,0.1961,0,0.1471,0.6,0.6,1,1,1,0.36,0.4583,0.75,0.0,1,0.0,0.0949,0.75,0.0,0.0,0.0,0.25,0.25,0.25,0,0.3333,0.3,0.0,1,0.796525,0.336775,1.0,0.5227666666666667,0.3333333333333333,0.28163333333333335,0.125,0.19443333333333332,0.43333333333333335,0.6640166666666667,0.27354666666666666
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D017,1,0.93,1.0,0.0392,0,0.0294,0.4286,0.7143,1,0,1,0.42,0.4583,0.75,0.0,1,1.0,0.0858,0.75,0.0,0.0,0.75,0.0,0.25,0.75,0,0.3333,0.75,0.0,1,0.7423000000000001,0.293075,0.6666666666666666,0.5427666666666666,0.6666666666666666,0.2786,0.25,0.3611,0.5833333333333334,0.5612020833333333,0.42794
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D018,1,0.98,1.0,0.1765,0,0.3824,0.6667,0.6667,1,1,1,0.16,0.4583,0.75,0.0,1,0.2,0.1137,0.25,0.0,0.3333,0.0,0.25,0.25,0.0,0,0.5,0.45,0.0,0,0.789125,0.42894999999999994,1.0,0.4561,0.39999999999999997,0.12123333333333335,0.20832499999999998,0.16666666666666666,0.15,0.66854375,0.209245
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D019,1,0.97,1.0,0.0588,0,0.2941,0.3333,0.3333,1,1,0,0.04,0.3333,0.75,0.25,1,1.0,0.2444,0.25,0.0,0.3333,0.0,0.5,0.25,0.25,0,0.25,0.75,0.0,1,0.7572,0.24017499999999997,0.6666666666666666,0.37443333333333334,0.75,0.1648,0.270825,0.16666666666666666,0.5833333333333334,0.5096187499999999,0.387125
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D020,1,0.95,1.0,0.4902,0,0.6176,0.6,0.6,1,0,0,0.48,0.5833,0.75,0.0,1,0.0,0.0606,0.25,0.0,0.3333,0.75,0.5,0.25,0.75,0,0.25,0.6,0.0,1,0.8600500000000001,0.4544,0.3333333333333333,0.6044333333333333,0.3333333333333333,0.10353333333333332,0.458325,0.3333333333333333,0.5333333333333333,0.5630541666666666,0.35237166666666664
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D021,1,0.94,1.0,0.451,0,0.5882,0.6667,0.6667,1,1,0,0.44,0.3333,0.75,0.0,1,1.0,0.1238,0.25,0.0,0.3333,0.0,0.5,0.25,0.75,0,0.3333,0.75,0.0,0,0.84775,0.48039999999999994,0.6666666666666666,0.5077666666666666,0.6666666666666666,0.1246,0.270825,0.3611,0.25,0.6256458333333332,0.3346383333333333
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D022,1,0.98,1.0,0.0,0,0.0,0.4286,0.7143,1,1,0,0.36,0.4583,0.75,0.25,1,0.0,0.0813,0.25,0.0,0.3333,0.0,0.5,0.25,0.75,1,0.3333,0.75,0.3333,1,0.745,0.285725,0.6666666666666666,0.5227666666666667,0.4166666666666667,0.11043333333333333,0.270825,0.6944333333333333,0.6944333333333333,0.5550395833333333,0.43735833333333335
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D023,1,0.97,1.0,0.0196,0,0.0147,0.0,0.6,1,1,1,0.12,0.2083,0.5,0.0,1,0.0,0.0338,0.25,0.0,0.3333,0.0,0.25,0.5,0.25,0,0.25,0.7,1.0,1,0.7474,0.153675,1.0,0.2761,0.3333333333333333,0.0946,0.270825,0.16666666666666666,0.9,0.54429375,0.353085
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D024,1,0.97,1.0,0.3922,0,0.2941,0.6667,0.6667,1,0,0,0.46,0.3333,0.75,0.0,1,0.8,0.172,0.25,0.0,0.3333,0.75,0.25,0.25,0.75,0,0.25,0.7,0.5,1,0.8405499999999999,0.406875,0.3333333333333333,0.5144333333333333,0.6,0.14066666666666666,0.395825,0.3333333333333333,0.7333333333333334,0.5237979166666666,0.4406316666666667
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D025,1,0.95,1.0,0.1765,0,0.3824,0.0,0.0,1,0,1,0.16,0.3333,0.75,0.0,1,0.8,0.1283,0.25,0.0,0.3333,0.75,0.25,0.25,0.75,0,0.25,0.55,0.5,1,0.781625,0.0956,0.6666666666666666,0.4144333333333334,0.6,0.1261,0.395825,0.3333333333333333,0.6833333333333332,0.48958125,0.4277183333333333
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D026,1,0.97,1.0,0.0784,0,0.3088,0.3333,0.3333,1,0,1,0.06,0.4583,0.75,0.0,1,1.0,0.2203,0.25,0.0,0.3333,0.75,0.25,0.25,0.75,0,0.25,0.55,1.0,1,0.7620999999999999,0.24385,0.6666666666666666,0.4227666666666667,0.6666666666666666,0.15676666666666667,0.395825,0.3333333333333333,0.85,0.5238458333333332,0.48051833333333327
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D027,1,0.97,1.0,0.2353,0,0.4265,0.6,0.6,1,1,1,0.22,0.2083,0.75,0.25,1,1.0,0.1637,0.25,0.0,0.3333,0.0,0.25,0.25,0.25,1,0.3333,0.6,0.6667,1,0.801325,0.406625,1.0,0.3927666666666667,0.75,0.1379,0.20832499999999998,0.5277666666666666,0.7555666666666667,0.6501791666666666,0.4759116666666666
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D028,1,0.95,1.0,0.0,0,0.2353,0.6667,0.6667,1,0,1,0.34,0.2083,0.75,0.0,1,1.0,0.0745,0.25,0.0,0.3333,0.75,0.25,0.25,0.5,1,0.0833,0.7,1.0,1,0.7375,0.39217499999999994,0.6666666666666666,0.4327666666666667,0.6666666666666666,0.10816666666666667,0.395825,0.5277666666666666,0.9,0.5572770833333334,0.519685
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D029,1,0.95,1.0,0.0,0,0.0,0.6,0.8,1,1,1,0.32,0.3333,0.75,0.0,1,1.0,0.3451,0.25,0.0,0.0,0.5,0.5,0.25,0.25,1,0.25,0.6,0.6667,1,0.7375,0.35,1.0,0.46776666666666666,0.6666666666666666,0.19836666666666666,0.3125,0.5,0.7555666666666667,0.6388166666666666,0.48662
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D030,1,0.95,1.0,0.3725,0,0.2794,0.6,0.8,1,0,1,0.52,0.2917,0.75,0.0,1,1.0,0.3955,0.25,0.0,0.3333,0.75,0.5,0.25,0.75,1,0.25,0.55,0.5,1,0.8306250000000001,0.41985,0.6666666666666666,0.5205666666666667,0.6666666666666666,0.21516666666666664,0.458325,0.6666666666666666,0.6833333333333332,0.6094270833333334,0.5380316666666666
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D031,1,0.98,1.0,0.1765,0,0.3824,0.6667,0.6667,1,0,0,0.16,0.3333,0.75,0.25,1,1.0,0.097,0.25,0.0,0.3333,0.75,0.25,0.25,0.25,1,0.25,0.85,0.5,1,0.789125,0.42894999999999994,0.3333333333333333,0.4144333333333334,0.75,0.11566666666666665,0.395825,0.5,0.7833333333333333,0.4914604166666666,0.508965
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D032,1,0.94,1.0,0.098,0,0.3235,0.3333,0.3333,0,0,1,0.16,0.2083,0.75,0.0,1,0.8,0.2071,0.25,,0.3333,0.75,0.25,0.25,0.75,0,0.25,0.45,1.0,0,0.7595,0.247525,0.3333333333333333,0.3727666666666667,0.6,0.15236666666666668,0.395825,0.3333333333333333,0.48333333333333334,0.42828125,0.3929716666666666
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D033,1,0.92,1.0,0.0392,0,0.0294,0.0,0.0,1,1,1,0.24,0.3333,0.75,0.0,1,0.8,0.173,0.25,0.0,0.0,0.0,0.25,0.25,0.75,1,0.25,0.45,0.3333,0,0.7398,0.00735,1.0,0.4411,0.6,0.141,0.125,0.6666666666666666,0.2611,0.5470625,0.3587533333333333
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D034,1,0.93,1.0,0.1569,0,0.3676,0.0,0.0,1,1,1,0.14,0.3333,0.25,0.0,1,0.0,0.062,0.25,0.0,0.3333,0.0,0.25,0.75,0.75,1,0.25,0.7,0.3333,1,0.771725,0.0919,1.0,0.2411,0.3333333333333333,0.104,0.333325,0.6666666666666666,0.6777666666666665,0.5261812499999999,0.4230183333333333
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D035,1,0.91,1.0,0.0,0,0.2206,0.5,0.5,1,0,1,0.06,0.4167,0.75,0.0,1,0.0,0.1023,0.25,0.0,0.3333,0.75,0.0,0.25,0.25,0,0.25,0.7,0.3333,1,0.7275,0.30515000000000003,0.6666666666666666,0.40890000000000004,0.3333333333333333,0.11743333333333333,0.333325,0.16666666666666666,0.6777666666666665,0.5270541666666667,0.32570499999999997
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D036,1,0.9,1.0,0.0588,0,0.1324,0.0,0.0,1,1,1,0.04,0.3333,0.75,0.25,1,0.0,0.0542,0.25,0.0,0.3333,0.0,0.0,0.25,0.25,0,0.0833,0.6,0.8333,1,0.7397,0.0331,1.0,0.37443333333333334,0.4166666666666667,0.1014,0.14582499999999998,0.11109999999999999,0.8111,0.5368083333333333,0.3172183333333333
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D037,1,0.88,1.0,0.0588,0,0.2941,0.5714,0.5714,1,1,0,0.2,0.4167,0.75,0.0,1,0.0,0.0846,0.25,0.0,0.3333,0.0,0.0,0.25,0.25,0,0.0833,0.7,1.0,1,0.7347,0.359225,0.6666666666666666,0.4555666666666667,0.3333333333333333,0.11153333333333333,0.14582499999999998,0.11109999999999999,0.9,0.5540395833333334,0.32035833333333336
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D038,1,0.97,1.0,0.1373,0,0.1029,0.5,0.5,1,1,0,0.14,0.3333,0.75,0.0,1,0.0,0.2623,0.25,0.0,0.3333,0.0,0.0,0.25,0.75,1,0.3333,0.7,0.5,1,0.776825,0.275725,0.6666666666666666,0.40776666666666667,0.3333333333333333,0.17076666666666665,0.14582499999999998,0.6944333333333333,0.7333333333333334,0.5317458333333334,0.4155383333333333
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Port_Berger,Tsinjoarivo,D039,1,0.95,1.0,0.3725,0,0.5294,0.6,0.6,1,0,0,0.36,0.4167,0.75,0.25,1,1.0,0.158,0.25,0.0,0.3333,0.75,0.0,0.25,0.25,1,0.0833,0.7,0.5,1,0.8306250000000001,0.43235,0.3333333333333333,0.5089,0.75,0.136,0.333325,0.4444333333333333,0.7333333333333334,0.5263020833333333,0.4794183333333333
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,D040,1,0.94,0.625,0.5686,0,0.4265,0.0,0.3333,1,1,0,0.62,0.3333,0.75,1.0,1,0.8,0.3455,0.5,1.0,0.6667,0.0,0.0,0.25,0.75,1,0.75,0.65,1.0,0,0.7834,0.18995,0.6666666666666666,0.5677666666666666,0.9333333333333332,0.6151666666666666,0.229175,0.8333333333333334,0.5499999999999999,0.5519458333333332,0.6322016666666666
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,D041,1,0.95,1.0,0.0392,0,0.0294,0.0,0.5,1,0,0,0.14,0.3333,0.25,0.25,1,0.8,0.023,0.5,0.0,0.0,0.75,0.0,0.75,0.75,1,0.75,0.75,0.8333,1,0.7473000000000001,0.13235,0.3333333333333333,0.2411,0.6833333333333332,0.17433333333333334,0.375,0.8333333333333334,0.8611,0.36352083333333335,0.5854199999999999
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,D042,1,0.96,1.0,0.1176,0,0.3382,0.0,0.0,1,0,0,0.1,0.2083,0.75,0.5,1,0.8,0.1435,0.5,0.0,0.0,0.75,0.0,0.25,0.75,1,0.75,0.75,0.8333,1,0.7694,0.08455,0.3333333333333333,0.3527666666666667,0.7666666666666666,0.2145,0.25,0.8333333333333334,0.8611,0.3850125,0.5851200000000001
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,D043,1,0.97,1.0,0.0,0,0.0,0.0,0.0,1,0,1,0.02,0.2083,0.5,0.25,1,0.2,0.0063,0.5,0.0,0.3333,0.75,0.0,0.5,0.25,0,0.25,0.65,1.0,1,0.7424999999999999,0.0,0.6666666666666666,0.24276666666666666,0.48333333333333334,0.16876666666666665,0.395825,0.16666666666666666,0.8833333333333333,0.4129833333333333,0.419585
Well established LMMAs,Mangrove,Sahamalaza,Sofia,Analalava,Antafiatambalaka,D044,1,0.97,1.0,0.0196,0,0.0147,0.5,0.75,1,1,1,0.24,0.2083,0.75,0.0,1,0.8,0.3689,0.5,0.0,0.0,0.0,0.0,0.25,0.25,1,0.25,0.65,0.8333,1,0.7474,0.316175,1.0,0.39943333333333336,0.6,0.28963333333333335,0.0625,0.5,0.8277666666666667,0.6157520833333334,0.45598
